"","Species","total_reads","mean_ra"
"1","Acarus farris",3,5.96676155806464e-07
"2","Achroia grisella",3,7.04090153580838e-07
"3","Agrotis infusa",77,1.33352600824389e-05
"4","Ahasverus advena",871719,0.0347798200021246
"5","Alaus melanops",1400,6.03898067877003e-05
"6","Anthrenus sinensis",79710,0.0018636690579571
"7","Apis mellifera",48,4.14280974307363e-06
"8","Bactrocera neohumeralis",17,2.11625607781184e-06
"9","Bactrocera tryoni",316,0.00146362852364128
"10","Badumna insignis",11,9.59789458400173e-07
"11","Bisnius sordidus",9,5.95293312255324e-06
"12","Brachycaudus malvae",16,6.25752369450456e-06
"13","Brachypeplus Sp",20595750,0.200375682596313
"14","Bradysia impatiens",24361,0.000645819291436999
"15","Brommella punctosparsa",6,1.41644162950278e-06
"16","Buchananiella continua",4,7.95568207741953e-07
"17","Calliphora augur/dubia",114,1.61164022476526e-05
"18","Calliphora ochracea",13,0.000148973023140354
"19","Carpophilus bakewelli",15,0.000130232150953116
"20","Carpophilus davidsoni",10239540,0.122936188390206
"21","Carpophilus dimidiatus",1673,0.00181574008382826
"22","Carpophilus hemipterus",36985558,0.382158705752645
"23","Carpophilus marginellus",66686,0.0017511139338863
"24","Carpophilus mutilatus",151008,0.010550714396915
"25","Carpophilus nepos",10248941,0.151896376211495
"26","Carpophilus obsoletus",8081,0.00111784850259562
"27","Carpophilus Sp7",415236,0.0172580619457258
"28","Carpophilus truncatus",26026596,0.234087597319463
"29","Cerobasis guestfalica",24072,0.000840085277005032
"30","Chrysomya rufifacies",25,5.85110435385055e-06
"31","Chrysomya varipes",3036,0.000356504975553063
"32","Coboldia fuscipes",35,1.75278548439482e-05
"33","Coccinella transversalis",2,1.47144297054907e-05
"34","Conoderus exsul",81,3.2878719001295e-05
"35","Creontiades dilutus",2,1.44984584514052e-06
"36","Cryptachaea veruculata",47428,0.00482726966653843
"37","Cryptolestes ferrugineus",8,5.64577025949372e-05
"38","Cryptolestes pusilloides",977,0.00423556038338628
"39","Cryptolestes pusillus",4,6.06949142820899e-07
"40","Cryptolestes turcicus",323,1.91413118142984e-05
"41","Dermestes frischii",2,5.53472347137856e-06
"42","Diaeretiella rapae",30,4.86686949099523e-06
"43","Dictyotus caenosus",130,8.34345480301592e-06
"44","Drosophila albomicans",12,6.91536281239778e-06
"45","Drosophila busckii",511,7.85684616625222e-05
"46","Drosophila buzzatii",13271,0.000472648040662762
"47","Drosophila hydei",904,0.000393329458721027
"48","Drosophila immigrans",72,0.000518569971048967
"49","Drosophila melanogaster",2087,0.000664562843046875
"50","Drosophila rubida",17,3.18412586649275e-06
"51","Drosophila simulans",58245,0.00192037076134257
"52","Drosophila subpulchrella",10,1.52082772178841e-05
"53","Drosophila sulfurigaster",5,6.84235255741446e-06
"54","Drosophila suzukii",151,0.000190998701625714
"55","Ectomyelois ceratoniae",79,5.62996653291933e-06
"56","Elachista synethes",1,5.51596319749355e-06
"57","Elattoma abeskoun",195,8.14159200765299e-05
"58","Epiphyas postvittana",3,0.00120843122732926
"59","Epuraea signata",169,0.0010433297786405
"60","Forficula auricularia",141,0.000102859143440156
"61","Frankliniella occidentalis",10,5.5154916371358e-06
"62","Frankliniella schultzei",7819,0.000940253651051803
"63","G__Aphis",3,5.71124189431994e-07
"64","G__Carpophilus",281,1.96047628644654e-05
"65","G__Pheidole",13,2.39277220120203e-06
"66","Helicoverpa punctigera",7,1.33262310867465e-06
