"","Species","CB3DR_fwhF2-fwhR2n-CM1","CB3DR_fwhF2-fwhR2n-CM2","CB3DR_fwhF2-fwhR2n-CM3","CB3DR_fwhF2-fwhR2n-CM4","CB3DR_fwhF2-fwhR2n-CM5","HLVKYDMXX_CM1","HLVKYDMXX_CM10","HLVKYDMXX_CM10-s","HLVKYDMXX_CM11","HLVKYDMXX_CM11-s","HLVKYDMXX_CM2","HLVKYDMXX_CM3","HLVKYDMXX_CM4","HLVKYDMXX_CM5","HLVKYDMXX_CM6","HLVKYDMXX_CM6-s","HLVKYDMXX_CM7","HLVKYDMXX_CM7-s","HLVKYDMXX_CM9","HLVKYDMXX_CM9-s","HLVKYDMXX_CML1","HLVKYDMXX_CML2","HLVKYDMXX_CML3","HLVKYDMXX_CML4","HLVKYDMXX_CML5","HLVKYDMXX_CML6","HLVKYDMXX_CT1","HLVKYDMXX_CT1-s","HLVKYDMXX_CT10","HLVKYDMXX_CT11","HLVKYDMXX_CT12","HLVKYDMXX_CT3","HLVKYDMXX_CT3-s","HLVKYDMXX_CT4","HLVKYDMXX_CT4-s","HLVKYDMXX_CT5","HLVKYDMXX_CT5-s","HLVKYDMXX_CT5dup","HLVKYDMXX_CT6-s","HLVKYDMXX_CT7-s","HLVKYDMXX_CT8","HLVKYDMXX_CT8-s","HLVKYDMXX_CT9","HLVKYDMXX_CT9-s"
"1","Acarus farris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Achroia grisella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Agrotis infusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ahasverus advena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,236,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,357,116,1353,2,NA,NA,NA,27,NA,10,NA,NA,58,6,844696,24831
"5","Alaus melanops",NA,NA,NA,NA,NA,5,1,NA,1,3,4,43,NA,9,448,2,174,11,69,2,11,NA,NA,NA,NA,NA,NA,NA,14,15,278,78,9,4,NA,20,1,20,30,7,17,2,112,10
"6","Anthrenus sinensis",NA,NA,NA,182,1527,26,65,257,NA,258,1200,NA,158,35788,382,NA,281,13,5824,445,827,NA,NA,NA,NA,NA,NA,NA,596,151,NA,9273,927,415,78,6297,1056,1451,327,410,1050,532,9598,316
"7","Apis mellifera",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,38,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"8","Bactrocera neohumeralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"9","Bactrocera tryoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,NA
"10","Badumna insignis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,6,NA,NA,NA
"11","Bisnius sordidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"12","Brachycaudus malvae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
"13","Brachypeplus Sp",29045,20402,56057,71917,180604,33395,3,10,57398,105441,878470,1334160,33532,2169695,1189,14,3383482,185065,55,12,110588,87,NA,NA,NA,NA,36,41,9800,5100,59323,4743320,518999,238134,11192,1728036,283607,1750772,9980,503466,1044078,211766,802012,25467
"14","Bradysia impatiens",NA,NA,14,21,2,NA,NA,NA,NA,3,5,2237,159,177,14626,99,492,10,372,39,NA,NA,NA,NA,NA,NA,NA,NA,180,27,NA,NA,3,2,NA,1911,423,2660,20,870,1,NA,8,NA
"15","Brommella punctosparsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"16","Buchananiella continua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Calliphora augur/dubia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Calliphora ochracea",NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
