train,error_type,type,.y.,group1,group2,p,p.adj,p.format,p.signif,method
Test set,Absolute,Absolute,RMSE,Linear Regression,LASSO Regression,0.8361947881568984,0.99,0.83619,ns,T-test
Test set,Absolute,Absolute,RMSE,Linear Regression,metacal,6.665864112872251e-43,7.1e-41,< 2e-16,****,T-test
Test set,Absolute,Absolute,RMSE,Linear Regression,Random Forest,0.670106040197392,0.99,0.67011,ns,T-test
Test set,Absolute,Absolute,RMSE,Linear Regression,SVM,0.9455846880683032,0.99,0.94558,ns,T-test
Test set,Absolute,Absolute,RMSE,Linear Regression,Uncorrected,1.1137884351163552e-28,1.1e-26,< 2e-16,****,T-test
Test set,Absolute,Absolute,RMSE,Linear Regression,XGBOOST,0.24965992401615625,0.99,0.24966,ns,T-test
Training set,Absolute,Absolute,RMSE,Linear Regression,LASSO Regression,0.07215768424293133,0.99,0.07216,ns,T-test
Training set,Absolute,Absolute,RMSE,Linear Regression,metacal,6.365798370062866e-154,8.099999999999996e-152,< 2e-16,****,T-test
Training set,Absolute,Absolute,RMSE,Linear Regression,Random Forest,1.9191968721671094e-70,2.0999999999999997e-68,< 2e-16,****,T-test
Training set,Absolute,Absolute,RMSE,Linear Regression,SVM,8.076717768132852e-4,0.062,0.00081,***,T-test
Training set,Absolute,Absolute,RMSE,Linear Regression,Uncorrected,9.439547780855668e-190,1.1999999999999998e-187,< 2e-16,****,T-test
Training set,Absolute,Absolute,RMSE,Linear Regression,XGBOOST,2.6387994421728168e-18,2.2e-16,< 2e-16,****,T-test
Test set,Absolute,Relative,RMSE,Linear Regression,LASSO Regression,0.8361947881568984,0.99,0.83619,ns,T-test
Test set,Absolute,Relative,RMSE,Linear Regression,Random Forest,0.670106040197392,0.99,0.67011,ns,T-test
Test set,Absolute,Relative,RMSE,Linear Regression,SVM,0.9455846880683032,0.99,0.94558,ns,T-test
Test set,Absolute,Relative,RMSE,Linear Regression,Uncorrected,1.1137884351163552e-28,1.1e-26,< 2e-16,****,T-test
Test set,Absolute,Relative,RMSE,Linear Regression,XGBOOST,0.24965992401615625,0.99,0.24966,ns,T-test
Training set,Absolute,Relative,RMSE,Linear Regression,LASSO Regression,0.07215768424293133,0.99,0.07216,ns,T-test
Training set,Absolute,Relative,RMSE,Linear Regression,Random Forest,1.9191968721671094e-70,2.0999999999999997e-68,< 2e-16,****,T-test
Training set,Absolute,Relative,RMSE,Linear Regression,SVM,8.076717768132852e-4,0.062,0.00081,***,T-test
Training set,Absolute,Relative,RMSE,Linear Regression,Uncorrected,9.439547780855668e-190,1.1999999999999998e-187,< 2e-16,****,T-test
Training set,Absolute,Relative,RMSE,Linear Regression,XGBOOST,2.6387994421728168e-18,2.2e-16,< 2e-16,****,T-test
Test set,ALR,Absolute,RMSE,Linear Regression,LASSO Regression,0.860414392340806,0.99,0.86041,ns,T-test
Test set,ALR,Absolute,RMSE,Linear Regression,metacal,0.9637570113666092,0.99,0.96376,ns,T-test
Test set,ALR,Absolute,RMSE,Linear Regression,Random Forest,0.9334501920381036,0.99,0.93345,ns,T-test
Test set,ALR,Absolute,RMSE,Linear Regression,SVM,0.11037291325247843,0.99,0.11037,ns,T-test
Test set,ALR,Absolute,RMSE,Linear Regression,Uncorrected,3.1146195010986683e-4,0.025,0.00031,***,T-test
Test set,ALR,Absolute,RMSE,Linear Regression,XGBOOST,0.9862159008651094,0.99,0.98622,ns,T-test
Training set,ALR,Absolute,RMSE,Linear Regression,LASSO Regression,0.454427417932147,0.99,0.45443,ns,T-test
Training set,ALR,Absolute,RMSE,Linear Regression,metacal,0.32616588361107246,0.99,0.32617,ns,T-test
Training set,ALR,Absolute,RMSE,Linear Regression,Random Forest,1.5141251019190835e-43,1.7e-41,< 2e-16,****,T-test
Training set,ALR,Absolute,RMSE,Linear Regression,SVM,0.002829542406925712,0.21,0.00283,**,T-test
Training set,ALR,Absolute,RMSE,Linear Regression,Uncorrected,3.644513866399198e-99,4.4999999999999985e-97,< 2e-16,****,T-test
Training set,ALR,Absolute,RMSE,Linear Regression,XGBOOST,4.78842606997505e-22,4.3e-20,< 2e-16,****,T-test
Test set,ALR,Relative,RMSE,Linear Regression,LASSO Regression,0.860414392340806,0.99,0.86041,ns,T-test
Test set,ALR,Relative,RMSE,Linear Regression,metacal,0.9637570113666092,0.99,0.96376,ns,T-test
Test set,ALR,Relative,RMSE,Linear Regression,Random Forest,0.9334501920381036,0.99,0.93345,ns,T-test
Test set,ALR,Relative,RMSE,Linear Regression,SVM,0.11037291325247843,0.99,0.11037,ns,T-test
Test set,ALR,Relative,RMSE,Linear Regression,Uncorrected,3.1146195010986683e-4,0.025,0.00031,***,T-test
Test set,ALR,Relative,RMSE,Linear Regression,XGBOOST,0.9862159008651094,0.99,0.98622,ns,T-test
Training set,ALR,Relative,RMSE,Linear Regression,LASSO Regression,0.454427417932147,0.99,0.45443,ns,T-test
Training set,ALR,Relative,RMSE,Linear Regression,metacal,0.32616588361107246,0.99,0.32617,ns,T-test
Training set,ALR,Relative,RMSE,Linear Regression,Random Forest,1.5141251019190835e-43,1.7e-41,< 2e-16,****,T-test
Training set,ALR,Relative,RMSE,Linear Regression,SVM,0.002829542406925712,0.21,0.00283,**,T-test
Training set,ALR,Relative,RMSE,Linear Regression,Uncorrected,3.644513866399198e-99,4.4999999999999985e-97,< 2e-16,****,T-test
Training set,ALR,Relative,RMSE,Linear Regression,XGBOOST,4.78842606997505e-22,4.3e-20,< 2e-16,****,T-test
Test set,CLR,Absolute,RMSE,Linear Regression,LASSO Regression,0.9925741364338151,0.99,0.99257,ns,T-test
Test set,CLR,Absolute,RMSE,Linear Regression,metacal,0.9813697590826262,0.99,0.98137,ns,T-test
