,Drosophila melanogaster,Drosophila simulans,Drosophila hydei,Scaptodrosophila lattivitata,Drosophila immigrans,Drosophila subpulchrella,Drosophila suzukii,Drosophila biarmipes,Other,Carpophilus davidsoni,Carpophilus nr.dimidiatus,Carpophilus hemipterus,Urophorus humeralis,Brachypeplus Sp,carpophilus other,Synthetic Drosophilidae,Synthetic Tephritidae,Synthetic Culicidae,Synthetic Nitidulidae,Synthetic Cerambycidae,Synthetic Tortricidae,Synthetic Crambidae,Synthetic Aphididae,Synthetic Triozidae,Synthetic Apidae,Synthetic Siricidae,Synthetic Acrididae,Synthetic Thripidae
CM1-ex1,,,,,,,,,,150,80,40,15,15,0,,,,,,,,,,,,,
CM2-ex1,,,,,,,,,,80,150,40,15,15,0,,,,,,,,,,,,,
CM3-ex1,,,,,,,,,,80,40,150,15,15,0,,,,,,,,,,,,,
CM4-ex1,,,,,,,,,,60,60,60,100,20,0,,,,,,,,,,,,,
CM5-ex1,,,,,,,,,,60,60,60,20,100,0,,,,,,,,,,,,,
CM6-ex1,,,,,,,,,,100,100,100,0,0,0,,,,,,,,,,,,,
CM7-ex1,,,,,,,,,,60,60,60,60,60,0,,,,,,,,,,,,,
CM8-ex1,,,,,,,,,,100,3,100,49,48,0,,,,,,,,,,,,,
CM9-ex1,,,,,,,,,,73,73,151,0,0,3,,,,,,,,,,,,,
CM10-ex1,,,,,,,,,,72,150,72,0,0,6,,,,,,,,,,,,,
CM11-ex1,,,,,,,,,,135,0,135,15,15,0,,,,,,,,,,,,,
CML1-ex1,,,,,,,,,,240,30,30,,,,,,,,,,,,,,,,
CML2-ex1,,,,,,,,,,30,240,30,,,,,,,,,,,,,,,,
CML3-ex1,,,,,,,,,,30,30,240,,,,,,,,,,,,,,,,
CML4-ex1,,,,,,,,,,3,149,149,,,,,,,,,,,,,,,,
CML5-ex1,,,,,,,,,,148,3,149,,,,,,,,,,,,,,,,
CML6-ex1,,,,,,,,,,148,149,3,,,,,,,,,,,,,,,,
D100M1-ex1,30,50,10,10,0,0,0,,,,,,,,,,,,,,,,,,,,,
D100M2-ex1,40,9,30,10,10,1,0,,,,,,,,,,,,,,,,,,,,,
D100M3-ex1,14,10,40,30,0,1,0,1,,,,,,,,,,,,,,,,,,,,
D100M4-ex1,40,10,0,39,5,1,5,,,,,,,,,,,,,,,,,,,,,
D100M5-ex1,10,55,14,0,20,0,1,1,,,,,,,,,,,,,,,,,,,,
D250M1-ex1,75,125,25,25,0,0,0,,,,,,,,,,,,,,,,,,,,,
D250M2-ex1,100,25,75,25,24,1,0,,,,,,,,,,,,,,,,,,,,,
D250M3-ex1,37,25,100,82,0,1,5,1,,,,,,,,,,,,,,,,,,,,
D250M4-ex1,100,25,0,104,15,1,5,,,,,,,,,,,,,,,,,,,,,
D250M5-ex1,25,145,29,0,50,0,1,1,,,,,,,,,,,,,,,,,,,,
D500M1-ex1,150,250,50,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
D500M2-ex1,200,50,150,50,49,1,0,,,,,,,,,,,,,,,,,,,,,
D500M3-ex1,70,50,220,154,0,1,5,1,,,,,,,,,,,,,,,,,,,,
D500M4-ex1,210,50,0,210,24,1,5,,,,,,,,,,,,,,,,,,,,,
D500M5-ex1,54,275,70,0,100,0,1,1,,,,,,,,,,,,,,,,,,,,
