Sample,Drosophila_melanogaster,Drosophila_simulans,Drosophila_hydei,Scaptodrosophila_lattivitata,Drosophila_immigrans,Drosophila_subpulchrella,Drosophila_suzukii,Drosophila_biarmipes,Other,Carpophilus_davidsoni,Carpophilus_nr.dimidiatus,Carpophilus_hemipterus,Urophorus_humeralis,Brachypeplus_Sp,carpophilus_other,Synthetic_Drosophilidae,Synthetic_Tephritidae,Synthetic_Culicidae,Synthetic_Nitidulidae,Synthetic_Cerambycidae,Synthetic_Tortricidae,Synthetic_Crambidae,Synthetic_Aphididae,Synthetic_Triozidae,Synthetic_Apidae,Synthetic_Siricidae,Synthetic_Acrididae,Synthetic_Thripidae,Carpophilus_nepos,Carpophilus_marginalus,Synthetic_denom
CM1,0,0,0,0,0,0,0,0,0,150,80,40,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,0,0,0,0,0,0,0,0,0,80,150,40,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM3,0,0,0,0,0,0,0,0,0,80,40,150,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM4,0,0,0,0,0,0,0,0,0,60,60,60,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM5,0,0,0,0,0,0,0,0,0,60,60,60,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM6,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM7,0,0,0,0,0,0,0,0,0,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM8,0,0,0,0,0,0,0,0,0,100,3,100,49,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM9,0,0,0,0,0,0,0,0,0,73,73,151,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM10,0,0,0,0,0,0,0,0,0,72,150,72,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM11,0,0,0,0,0,0,0,0,0,135,0,135,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CML1,0,0,0,0,0,0,0,0,0,240,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CML2,0,0,0,0,0,0,0,0,0,30,240,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CML3,0,0,0,0,0,0,0,0,0,30,30,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CML4,0,0,0,0,0,0,0,0,0,3,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CML5,0,0,0,0,0,0,0,0,0,148,3,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CML6,0,0,0,0,0,0,0,0,0,148,149,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D100M1,30,50,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D100M2,40,9,30,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D100M3,14,10,40,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D100M4,40,10,0,39,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D100M5,10,55,14,0,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D250M1,75,125,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D250M2,100,25,75,25,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D250M3,37,25,100,82,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D250M4,100,25,0,104,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D250M5,25,145,29,0,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D500M1,150,250,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D500M2,200,50,150,50,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D500M3,70,50,220,154,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D500M4,210,50,0,210,24,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D500M5,54,275,70,0,100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1000M1,300,500,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1000M2,400,100,300,100,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1000M3,194,100,400,300,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1000M4,444,100,0,400,50,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1000M5,100,550,149,0,200,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
